"(A)I Feel the Need: The Need for Ludicrous Speed", Common Ground,Tuesday, 17:00-17:45, Florentine F
"89 Seconds to Compromise: Inside npm Supply Chain Attacks and How to Fight Back", Proving Ground,Wednesday, 10:30-11:00, Firenze
"A moment with Control Flow Integrity", Breaking Ground,Monday, 18:00-18:45, Florentine A
"ACME for S/MIME and the S/MIME ecosystem", Breaking Ground,Monday, 11:00-11:30, Florentine A
"AD security is not the end : Why Middleware is the New Tier 0 and How It Can Be Weaponized for Total Compromise", Breaking Ground,Tuesday, 10:00-10:45, Florentine A
"AWS Principal Threat Hunting: Behavioral Baselining for Malicious Activity", Training Ground,Monday, 10:30-14:30, PUB 365 Back Room
"Abusing Agentic AI Browsers: An Exploit-Based Approach", [un]prompted,Monday, 17:00-17:30, Siena
"Ace Your AppSec Interview: Hands-on Practice and Insights", Training Ground,Monday, 15:00-17:00, PUB 365 Back Room
"After the Jailbreak: A Product Security Incident Response Playbook for Agentic LLM Applications", Proving Ground,Tuesday, 15:00-15:30, Firenze
"Agents Under Fire", Ground Truth,Wednesday, 11:00-11:45, Florentine E
"Agents of Chaos: A Systemic Approach to Finding GCP 0-Days", Common Ground,Wednesday, 10:30-11:00, Florentine F
"Always Cloudy in Chengdu, Inside the Sophos Pacific Rim Campaign - TOKEN: 13", Skytalks,Tuesday, 18:00-18:45, Tuscany
"Ask EFF", Common Ground,Tuesday, 14:00-15:00, Florentine F
"Authorization phishing: how attackers stopped targeting logins", PasswordsCon,Wednesday, 10:00-10:45, Siena
"Autonomous Adversaries on Wheels: Building Self-Directed AI Systems for Connected Vehicle Exploitation", [un]prompted,Monday, 10:00-10:30, Siena
"Bashing CloudShells for mining, networking, exfil and persistence at scale", Breaking Ground,Tuesday, 11:30-12:15, Florentine A
"Beyond Static Analysis: Memory Forensics for Go Malware", Breaking Ground,Monday, 10:30-11:00, Florentine A
"Binary Jiujitsu: White Belt and Blue Belt Fundamentals - Part 2", Training Ground,Monday, 15:00-19:00, H108
"Binary Jiujitsu: White Belt and Blue Belt Fundamentals - Part 3", Training Ground,Tuesday, 10:30-14:30, H108
"Binary Jiujitsu: White Belt and Blue Belt Fundamentals - Part 4", Training Ground,Tuesday, 15:00-19:00, H108
"Binary Jiujitsu: White Belt and Blue Belt Fundamentals", Training Ground,Monday, 10:30-14:30, H108
"Breaking BOTS II: How frontier AI cheats evals", [un]prompted,Monday, 10:30-11:00, Siena
"Breaking The Silence: Cyber Harassment Research Continued…. - TOKEN: 11", Skytalks,Tuesday, 15:00-15:45, Tuscany
"Breaking the Modern Boot Chain on Windows and Linux: Exploiting UEFI Internals", Breaking Ground,Tuesday, 17:00-17:45, Florentine A
"Bridging the Gap - – Four Realities of Getting Hired in Cyber Security", Hire Ground,Wednesday, 10:00-10:45, Florentine B
"Broadcast, Don’t Chat: Hyperlocal Emergency Comms on $11 Radios Or: Why the Mesh Won’t Save You", I Am The Cavalry,Tuesday, 10:00-10:45, Copa
"Building a Quantum Safe Test Lab", Common Ground,Monday, 15:00-15:45, Florentine F
"Building and Leading High-Performing Security Teams:  A Practitioner’s Playbook", Hire Ground,Monday, 11:00-11:25, Florentine B
"Burn the Five Year Plan: An Anti-Roadmap for the Rest of Us", Hire Ground,Tuesday, 15:00-15:45, Florentine B
"Burn the Trail: Why Your Personal Digital Exhaust Is An Organizational Problem (And What To Do About It)", Training Ground,Monday, 10:30-14:30, H116
"Burp, But Yours: Hands-On Extension and Bambda Development", Training Ground,Monday, 10:30-14:30, H112
"CI Fortify", I Am The Cavalry,Tuesday, 17:00-17:45, Copa
"Came for the AppSec scans, stayed for the flaky tests", Common Ground,Monday, 14:30-15:00, Florentine F
"Catch Me If You Can: Hooking your way into encrypted intimate IoT traffic", Common Ground,Tuesday, 15:30-16:00, Florentine F
"CerBERTus: A Three-Headed Approach to Prompt Security", Ground Truth,Monday, 15:00-15:45, Florentine E
"Certificate Transparency logs as OSINT", PasswordsCon,Wednesday, 12:00-12:45, Siena
"Come With Me If You Want a Job", Hire Ground,Monday, 15:00-15:55, Florentine B
"Criminal Hijacking: Profiling Threat Actors engaged in session takeover with Infostealer Logs", PasswordsCon,Tuesday, 15:00-16:00, Siena
"Crypto Is Fine. The Code Is Not: Real-World Cryptographic Failures", Proving Ground,Tuesday, 10:00-10:30, Firenze
"Cyber Jobs Dumpster Fire: Honest Advice from 2 Veterans", Hire Ground,Monday, 17:00-17:55, Florentine B
"DPAPI Was Never a Lock: How Infostealers Break Every Windows Credential Store", PasswordsCon,Tuesday, 10:00-11:00, Siena
"Decentralized Deception: EtherRAT Distribution Spoofing Administrative Tools via GitHub Facades", Proving Ground,Tuesday, 10:30-11:00, Firenze
"Deception Is Back: Catching AI Attackers With AI-Built Bait", [un]prompted,Monday, 18:30-19:00, Siena
"Democratizing Hack-The-Box: Intent as Infrastructure for Vulnerable Topologies", Proving Ground,Tuesday, 11:00-11:30, Firenze
"Destroyed by Breach: Corporate casualties of cybersecurity failures", Common Ground,Tuesday, 10:00-11:00, Florentine F
"Devising and Detecting Voice Phishing: Large AI Voice Models (ElevenLabs, Gemini, Sesame) vs. Traditional Human Scam Techniques", Ground Truth,Monday, 10:00-10:45, Florentine E
"Digital Detox: Cleanse Your Digital Footprint", Training Ground,Wednesday, 10:00-11:30, PUB 365 Back Room
"Do Not Go Gentle Into the Night Disrupting the disrupters of UnDisruptable27", I Am The Cavalry,Monday, 10:00-11:30, Copa
"Dr. Strangeprompt, or How I Learned to Stop Coding and Love my AI", Hire Ground,Tuesday, 14:00-14:55, Florentine B
"Engineering the Hunt: Developing AI SKILLs for Network Security Monitoring", Training Ground,Monday, 15:00-19:00, H116
"Every ride you take - Hacking a City’s Public Transportation (PART 2)  - TOKEN: 13", Skytalks,Tuesday, 18:45-19:00, Tuscany
"Every ride you take - Hacking a City’s Public Transportation", Breaking Ground,Wednesday, 12:30-13:00, Florentine A
"Everything I had to learn about Passkeys", PasswordsCon,Tuesday, 12:30-12:45, Siena
"FHIRbug: Cross-Vendor OAuth Security Patterns in 14 Production Healthcare APIs", Common Ground,Wednesday, 10:00-10:30, Florentine F
"FLASI: When Your SIEM Is Too Expensive to Tell You the Truth", Breaking Ground,Tuesday, 15:00-15:30, Florentine A
"Finding vulnerabilities in windows kernel drivers & performing BYOVD attacks", Breaking Ground,Tuesday, 14:30-15:00, Florentine A
"Five AIs Walk Into a Severity Meeting: Auto-Triage and the Evolution of GM’s Bug Bounty", Common Ground,Tuesday, 18:00-18:45, Florentine F
"Food for Thought: Concentration , Cold Chain, & Consequences", I Am The Cavalry,Monday, 18:00-18:30, Copa
"For Prompt Injection, Press 1: Hacking AI Voice Agents", Proving Ground,Tuesday, 15:30-16:00, Firenze
"From Copilot to Commander: Building Agentic AI for Security Investigations", Training Ground,Tuesday, 10:30-14:30, H114
"From Forest to Bonsai: Pruning and Explaining Logs for Air-Gapped IoT Devices Using Local LLM", Proving Ground,Wednesday, 10:00-10:30, Firenze
"From Pets To Cattle To Agents: Evolving Identity And Security For Workloads", PasswordsCon,Tuesday, 12:00-12:30, Siena
"From Prompt to Pwn: Hands-On Exploitation of LLM-Powered Applications with OWASP Techniques", Training Ground,Tuesday, 15:00-19:00, H114
"From the Wild West to Yes, If: Building an AI Security & Governance Program", Proving Ground,Tuesday, 11:30-12:00, Firenze
"Ghost Records: Killing a Vulnerability Class at Enterprise Scale", Breaking Ground,Monday, 14:00-14:45, Florentine A
