"Offensive Packet Wizardry with Scapy", Fri,09:00 for 4 hours,LVCC - L2 - W222 (Workshops)
"Hands-on IoT firmware extraction and flash forensics", Fri,09:00 for 4 hours,LVCC - L2 - W225 (Workshops)
"AWS Cloud Security 101: From IAM Misconfigurations to Account Takeover", Fri,09:00 for 4 hours,LVCC - L2 - W228 (Workshops)
"Web Hacking 101", Fri,09:00 for 4 hours,LVCC - L2 - W229 (Workshops)
"Malware Development 101 - From Zero to Hero: Adapt your payload to your environment", Fri,09:00 for 4 hours,LVCC - L2 - W230 (Workshops)
"Long Live Empire: A C2 Workshop for Modern Red Teaming", Fri,09:00 for 4 hours,LVCC - L2 - W231 (Workshops)
"Learning to Hack Bluetooth Low Energy with BLE CTF", Fri,09:00 for 4 hours,LVCC - L2 - W232 (Workshops)
"Agentic Threat Hunting: Building AI That Remembers What You Hunted", Fri,09:00 for 4 hours,LVCC - L2 - W233 (Workshops)
"Investigating and Responding to M365 account compromise on a shoestring: Living of the Land Incident Response", Fri,14:00 for 4 hours,LVCC - L2 - W222 (Workshops)
"OT Systems: how to secure them in practice!", Fri,14:00 for 4 hours,LVCC - L2 - W225 (Workshops)
"AWS Principal Threat Hunting: Behavioral Baselining for Malicious Activity", Fri,14:00 for 4 hours,LVCC - L2 - W228 (Workshops)
"Reaching Mythos: Hands-On Vulnerability Discovery with Local AI Models", Fri,14:00 for 4 hours,LVCC - L2 - W229 (Workshops)
"Solder, Detect, Listen: Build Your Own EMF Explorer", Fri,14:00 for 4 hours,LVCC - L2 - W230 (Workshops)
"All About Stoopie InfoStealers: Malware Analysis for Understanding, Custom Coding for True Understanding!", Fri,14:00 for 4 hours,LVCC - L2 - W231 (Workshops)
"Introduction to Malware Analysis", Fri,14:00 for 4 hours,LVCC - L2 - W232 (Workshops)
"Embedded Computing Tools for Wireless Hardware Hacking", Fri,14:00 for 4 hours,LVCC - L2 - W233 (Workshops)
"Wi-Fight Club: I am Jack's Evil Twin", Sat,09:00 for 4 hours,LVCC - L2 - W222 (Workshops)
"Explore the Windows instrumentation callback", Sat,09:00 for 4 hours,LVCC - L2 - W225 (Workshops)
"Step-by-Step Malware Development: Evading EDR from Loaders to the Kernel", Sat,09:00 for 4 hours,LVCC - L2 - W228 (Workshops)
"Words As Weapons: Breaking AI and Agents; Then Securing Them", Sat,09:00 for 4 hours,LVCC - L2 - W229 (Workshops)
"HackTheCloud26: Chaining Cloud Misconfigurations to Compromise Infrastructure", Sat,09:00 for 4 hours,LVCC - L2 - W230 (Workshops)
"Hecate: A Trivial UART Tool", Sat,09:00 for 4 hours,LVCC - L2 - W231 (Workshops)
"Detecting and Analyzing Memory Only Malware with Volatility 3", Sat,09:00 for 4 hours,LVCC - L2 - W232 (Workshops)
"Battle-Tested Broadcasts: RF Insights From Ukraine", Sat,09:00 for 4 hours,LVCC - L2 - W233 (Workshops)
"Hands-on DuckyScript: An Introduction to HID Attack Tools with O.MG Devices", Sat,14:00 for 4 hours,LVCC - L2 - W222 (Workshops)
"Purple Teaming Industrial Control Systems", Sat,14:00 for 4 hours,LVCC - L2 - W225 (Workshops)
"Entra ID Persistence - Because Passwords Were Never the Problem", Sat,14:00 for 4 hours,LVCC - L2 - W228 (Workshops)
"From Prompt to PWN: Exploiting LLM Powered Web Applications with OWASP Techniques", Sat,14:00 for 4 hours,LVCC - L2 - W229 (Workshops)
"Intro to Writing Windows Malware with Rust!", Sat,14:00 for 4 hours,LVCC - L2 - W230 (Workshops)
"Building Agentic Reverse Engineering "Skills"", Sat,14:00 for 4 hours,LVCC - L2 - W231 (Workshops)
"Learning to Reverse Engineer Compiled C as We Learn to Write It", Sat,14:00 for 4 hours,LVCC - L2 - W232 (Workshops)
"Salesforce Apex Predator: Breaking Salesforce Sites", Sat,14:00 for 4 hours,LVCC - L2 - W233 (Workshops)
"Attacking Cloud APIs from the IoT Edge", Sun,09:00 for 4 hours,LVCC - L2 - W222 (Workshops)
"Building your own hardware hacking kit to Pentest Bluetooth, WIFI, and more.", Sun,09:00 for 4 hours,LVCC - L2 - W225 (Workshops)
"Post-Quantum Cryptography (PQC) for Hackers", Sun,09:00 for 4 hours,LVCC - L2 - W228 (Workshops)
"Purple Protocol: Adversary emulation for everyone", Sun,09:00 for 4 hours,LVCC - L2 - W229 (Workshops)
"CI/CD Weaponization: Build It, Deploy It, Own It", Sun,09:00 for 4 hours,LVCC - L2 - W230 (Workshops)
"ICS Hack 'n Track", Sun,09:00 for 4 hours,LVCC - L2 - W231 (Workshops)
"Creating Shellcode for Hackers", Sun,09:00 for 4 hours,LVCC - L2 - W232 (Workshops)
"Pivot, Hunt, Publish: An Offline, Hands-On CTI Workshop for Blue Teams and Threat Researchers", Sun,09:00 for 4 hours,LVCC - L2 - W233 (Workshops)
